83737, GREEDY, UCBM (12) (5), 1, 3233332224244544305, 0.525714285714286
20991, GREEDY, UCBM (12) (5), 1, 3031343, 0.8
93715, GREEDY, UCBM (3) (3), 1, 3331303223252112101156544, 0.388571428571429
62735, GREEDY, UCBM (3) (3), 1, 333232262631203, 0.617142857142857
42394, GREEDY, UCBM (3) (3), 1, 3231343, 0.8
12312, GREEDY, UCBM (3) (3), 1, 333636322320222555544665414, 0.342857142857143
50452, GREEDY, UCBM (3) (3), 1, 3231313, 0.8
22323, GREEDY, UCBM (3) (3), -1, 353633313551141044, -0.685714285714286
39123, GREEDY, UCBM (3) (3), 1, 3434313, 0.8
75675, GREEDY, UCBM (3) (3), 1, 3230313, 0.8
12392, GREEDY, UCBM (3) (3), 1, 3430343, 0.8
11221, GREEDY, UCBM (3) (3), 1, 363333322221251512115550404, 0.342857142857143
13200, GREEDY, UCBM (3) (3), 1, 3130303, 0.8
99932, GREEDY, UCBM (3) (3), 1, 3031313, 0.8
65651, GREEDY, UCBM (3) (3), -1, 3334323524232442425155, -0.571428571428571
83737, GREEDY, UCBM (3) (3), 1, 3231343, 0.8
20991, GREEDY, UCBM (3) (3), 1, 3034303, 0.8
93715, GREEDY, UCBM (24) (6), 1, 33303233222221111016010, 0.434285714285714
62735, GREEDY, UCBM (24) (6), 1, 303030003, 0.754285714285714
42394, GREEDY, UCBM (24) (6), 1, 323335342320202, 0.617142857142857
12312, GREEDY, UCBM (24) (6), 1, 33353135565222202445414, 0.434285714285714
50452, GREEDY, UCBM (24) (6), 1, 3630343, 0.8
22323, GREEDY, UCBM (24) (6), 1, 3536353, 0.8
39123, GREEDY, UCBM (24) (6), 1, 3436303, 0.8
75675, GREEDY, UCBM (24) (6), 1, 3230313, 0.8
12392, GREEDY, UCBM (24) (6), 1, 34333531414545521123212, 0.434285714285714
11221, GREEDY, UCBM (24) (6), 1, 3630333223222002004446466540515, 0.251428571428571
13200, GREEDY, UCBM (24) (6), 1, 313131103, 0.754285714285714
99932, GREEDY, UCBM (24) (6), 1, 3234303, 0.8
65651, GREEDY, UCBM (24) (6), 1, 33303430400045422021211, 0.434285714285714
83737, GREEDY, UCBM (24) (6), 1, 3231303, 0.8
20991, GREEDY, UCBM (24) (6), 1, 3031313, 0.8
93715, GREEDY, UCBM (40) (10), 1, 3034363, 0.8
62735, GREEDY, UCBM (40) (10), 1, 32343332262023454545554, 0.434285714285714
42394, GREEDY, UCBM (40) (10), 1, 3232303, 0.8
12312, GREEDY, UCBM (40) (10), 1, 33313531113, 0.708571428571429
50452, GREEDY, UCBM (40) (10), 1, 3231363, 0.8
22323, GREEDY, UCBM (40) (10), 1, 3536303, 0.8
39123, GREEDY, UCBM (40) (10), 1, 3430303, 0.8
75675, GREEDY, UCBM (40) (10), 1, 3031333032200121122446464416624010555, 0.114285714285714
12392, GREEDY, UCBM (40) (10), 1, 3430343, 0.8
11221, GREEDY, UCBM (40) (10), 1, 3634303, 0.8
13200, GREEDY, UCBM (40) (10), 1, 3034313, 0.8
99932, GREEDY, UCBM (40) (10), 1, 3230303, 0.8
65651, GREEDY, UCBM (40) (10), 1, 33303030013, 0.708571428571429
83737, GREEDY, UCBM (40) (10), 1, 313033303221211120002, 0.48
20991, GREEDY, UCBM (40) (10), 1, 3031343, 0.8
93715, GREEDY, UCBM (40) (40), 1, 3031303, 0.8
62735, GREEDY, UCBM (40) (40), 1, 323232213, 0.754285714285714
42394, GREEDY, UCBM (40) (40), 1, 3232363, 0.8
12312, GREEDY, UCBM (40) (40), 1, 33323030212002211, 0.571428571428572
50452, GREEDY, UCBM (40) (40), 1, 323233242035224345404, 0.48
22323, GREEDY, UCBM (40) (40), 1, 3535303, 0.8
39123, GREEDY, UCBM (40) (40), 1, 3431313, 0.8
75675, GREEDY, UCBM (40) (40), 1, 3035303, 0.8
12392, GREEDY, UCBM (40) (40), 1, 3430303, 0.8
11221, GREEDY, UCBM (40) (40), 1, 363633332125242, 0.617142857142857
13200, GREEDY, UCBM (40) (40), 1, 303335322325212, 0.617142857142857
99932, GREEDY, UCBM (40) (40), 1, 3230323, 0.8
65651, GREEDY, UCBM (40) (40), 1, 333131331212212524424, 0.48
83737, GREEDY, UCBM (40) (40), 1, 3130303, 0.8
20991, GREEDY, UCBM (40) (40), 1, 3030343, 0.8
93715, GREEDY, UCBM (26) (26), 1, 3034333541464113104, 0.525714285714286
62735, GREEDY, UCBM (26) (26), 1, 3232332320232, 0.662857142857143
42394, GREEDY, UCBM (26) (26), -1, 323333222231141444114624166555, -0.342857142857143
12312, GREEDY, UCBM (26) (26), 1, 3335303442464422223, 0.525714285714286
50452, GREEDY, UCBM (26) (26), -1, 32333035242224, -0.8
22323, GREEDY, UCBM (26) (26), 1, 3530313, 0.8
39123, GREEDY, UCBM (26) (26), 1, 3436313, 0.8
75675, GREEDY, UCBM (26) (26), 1, 3031313, 0.8
12392, GREEDY, UCBM (26) (26), 1, 343434403, 0.754285714285714
11221, GREEDY, UCBM (26) (26), 1, 36323330202006223661101, 0.434285714285714
13200, GREEDY, UCBM (26) (26), 1, 3031303, 0.8
99932, GREEDY, UCBM (26) (26), 1, 3231303, 0.8
65651, GREEDY, UCBM (26) (26), 1, 333635303, 0.754285714285714
83737, GREEDY, UCBM (26) (26), 1, 313131153, 0.754285714285714
20991, GREEDY, UCBM (26) (26), 1, 30343330400040414, 0.571428571428572
93715, GREEDY, UCBM (1.8) (8.4), 1, 303335322420232, 0.617142857142857
62735, GREEDY, UCBM (1.8) (8.4), -1, 32323223362036200554454141, -0.457142857142857
42394, GREEDY, UCBM (1.8) (8.4), 1, 32333434442026242, 0.571428571428572
12312, GREEDY, UCBM (1.8) (8.4), 1, 33313130101226200, 0.571428571428572
50452, GREEDY, UCBM (1.8) (8.4), -1, 323233242536214445, -0.685714285714286
22323, GREEDY, UCBM (1.8) (8.4), 1, 3531313, 0.8
39123, GREEDY, UCBM (1.8) (8.4), 1, 3430343, 0.8
75675, GREEDY, UCBM (1.8) (8.4), 1, 3132313, 0.8
12392, GREEDY, UCBM (1.8) (8.4), 1, 34363334424026266122443010021, 0.297142857142857
11221, GREEDY, UCBM (1.8) (8.4), 1, 3633343040414432262001211, 0.388571428571429
13200, GREEDY, UCBM (1.8) (8.4), 1, 30303331361210022520121, 0.434285714285714
99932, GREEDY, UCBM (1.8) (8.4), 1, 32333030212005232, 0.571428571428572
65651, GREEDY, UCBM (1.8) (8.4), 1, 3331303310161102252, 0.525714285714286
83737, GREEDY, UCBM (1.8) (8.4), 1, 3132323, 0.8
20991, GREEDY, UCBM (1.8) (8.4), 1, 303030063, 0.754285714285714
